Time (since start of data) [hrs],Fuel Cell Production [kW],Electrolyzer Consumption [kW],Stored Hydrogen [kg],External Hydrogen Load [kg],Curtiailed Hydrogen Potential [kg],Compression Power [kW],Compression Thermal Output [kW],Water Demand [kg],Electrolyzer H2 Production [kg],Charge (at end of timestep) [kWh],Fuel Cell Consumption [kg],Electrolyzer State of Health (at end of timestep) [ ],Fuel Cell State of Health (at end of timestep) [ ],Electrolyzer Operational Efficiency [ ],Fuel Cell State Operational Efficiency [ ],Capital Cost (actual),Operation and Maintenance Cost (actual),
0,0,46.7479,500.845,0,0,12.5,0,14.5324,0.844904,16678.1,0,0.999961,1,0.554978,0,2.85e+06,3.6,
1,70.1729,0,497.191,0,0,0,0,0,0,16556.5,3.65412,0.999961,0.999943,0,0.54597,0,4.21038,
2,150,0,488.94,0,0,0,0,0,0,16281.7,8.25047,0.999961,0.999936,0,0.545966,0,9,
3,150,0,480.69,0,0,0,0,0,0,16007,8.25053,0.999961,0.999927,0,0.545961,0,9,
4,150,0,472.439,0,0,0,0,0,0,15732.2,8.2506,0.999961,0.999917,0,0.545955,0,9,
5,150,0,464.189,0,0,0,0,0,0,15457.5,8.25068,0.999961,0.999908,0,0.54595,0,9,
6,40.5484,0,462.121,0,0,0,0,0,0,15388.6,2.06762,0.999961,0.999896,0,0.545944,0,2.4329,
7,0,0,462.121,0,0,0,0,0,0,15388.6,0,0.999961,0.999896,0,0,0,0,
8,0,270,466.666,0,0,12.4995,0,78.1709,4.54482,15540,0,0.999934,0.999896,0.554963,0,0,18.75,
9,0,297,471.62,0,0,12.4992,0,85.2195,4.95462,15705,0,0.999925,0.999896,0.554959,0,0,18.75,
10,0,299.7,476.615,0,0,12.4991,0,85.9162,4.99513,15871.3,0,0.999916,0.999896,0.554954,0,0,18.7499,
11,0,299.97,481.615,0,0,12.499,0,85.9851,4.99913,16037.8,0,0.999907,0.999896,0.554948,0,0,18.7499,
12,0,299.997,486.614,0,0,12.4988,0,85.9912,4.99949,16204.2,0,0.999897,0.999896,0.554943,0,0,18.7499,
13,0,300,491.614,0,0,12.4987,0,85.9911,4.99948,16370.7,0,0.999887,0.999896,0.554937,0,0,18.7499,
14,0,300,496.613,0,0,12.4986,0,85.9903,4.99944,16537.2,0,0.999877,0.999896,0.554932,0,0,18.7499,
15,0,300,501.612,0,0,12.4985,0,85.9895,4.99939,16703.7,0,0.999868,0.999896,0.554926,0,0,18.7499,
16,0,300,506.612,0,0,12.4983,0,85.9886,4.99934,16870.2,0,0.999858,0.999896,0.554921,0,0,18.7499,
17,0,300,511.611,0,0,12.4982,0,85.9878,4.99929,17036.6,0,0.999848,0.999896,0.554916,0,0,18.7499,
18,0,300,516.61,0,0,12.4981,0,85.9869,4.99924,17203.1,0,0.999838,0.999896,0.55491,0,0,18.7499,
19,38.3369,0,514.658,0,0,0,0,0,0,17138.1,1.95177,0.999838,0.999865,0,0.545927,0,2.30022,
20,0,46.7499,515.503,0,0,12.498,0,14.5306,0.844802,17166.3,0,0.999807,0.999865,0.554893,0,0,3.6,
21,60.9576,0,512.349,0,0,0,0,0,0,17061.2,3.15407,0.999807,0.999834,0,0.54591,0,3.65746,
22,150,0,504.098,0,0,0,0,0,0,16786.5,8.25137,0.999807,0.999824,0,0.545905,0,9,
23,150,0,495.846,0,0,0,0,0,0,16511.7,8.25145,0.999807,0.999815,0,0.545899,0,9,
24,150,0,487.595,0,0,0,0,0,0,16236.9,8.25153,0.999807,0.999805,0,0.545894,0,9,
25,150,0,479.343,0,0,0,0,0,0,15962.1,8.25161,0.999807,0.999795,0,0.545889,0,9,
26,150,0,471.092,0,0,0,0,0,0,15687.3,8.25169,0.999807,0.999785,0,0.545883,0,9,
27,150,0,462.84,0,0,0,0,0,0,15412.6,8.25177,0.999807,0.999775,0,0.545878,0,9,
28,150,0,454.588,0,0,0,0,0,0,15137.8,8.25185,0.999807,0.999765,0,0.545873,0,9,
29,150,0,446.336,0,0,0,0,0,0,14863,8.25193,0.999807,0.999756,0,0.545867,0,9,
30,0,0,446.336,0,0,0,0,0,0,14863,0,0.999807,0.999756,0,0,0,0,
31,0,270,450.88,0,0,12.4976,0,78.1589,4.54412,15014.3,0,0.999776,0.999756,0.554876,0,0,18.7499,
32,0,297,455.834,0,0,12.4972,0,85.206,4.95384,15179.3,0,0.999766,0.999756,0.55487,0,0,18.7498,
33,0,299.7,460.828,0,0,12.4971,0,85.9025,4.99433,15345.6,0,0.999756,0.999756,0.554865,0,0,18.7498,
34,0,299.97,465.827,0,0,12.497,0,85.9713,4.99833,15512,0,0.999746,0.999756,0.554859,0,0,18.7498,
35,0,299.997,470.825,0,0,12.4968,0,85.9774,4.99869,15678.5,0,0.999736,0.999756,0.554854,0,0,18.7498,
36,0,300,475.824,0,0,12.4967,0,85.9772,4.99868,15844.9,0,0.999726,0.999756,0.554848,0,0,18.7498,
37,0,300,480.823,0,0,12.4966,0,85.9765,4.99863,16011.4,0,0.999716,0.999756,0.554843,0,0,18.7498,
38,0,300,485.821,0,0,12.4965,0,85.9756,4.99858,16177.8,0,0.999706,0.999756,0.554837,0,0,18.7498,
39,0,300,490.82,0,0,12.4963,0,85.9747,4.99853,16344.3,0,0.999696,0.999756,0.554832,0,0,18.7498,
40,0,300,495.818,0,0,12.4962,0,85.9739,4.99848,16510.7,0,0.999686,0.999756,0.554826,0,0,18.7498,
41,0,300,500.817,0,0,12.4961,0,85.973,4.99843,16677.2,0,0.999676,0.999756,0.55482,0,0,18.7498,
42,0,300,505.815,0,0,12.496,0,85.9722,4.99838,16843.6,0,0.999666,0.999756,0.554815,0,0,18.7498,
43,0,300,510.813,0,0,12.4958,0,85.9713,4.99833,17010.1,0,0.999656,0.999756,0.554809,0,0,18.7497,
44,0,300,515.812,0,0,12.4957,0,85.9705,4.99828,17176.5,0,0.999646,0.999756,0.554804,0,0,18.7497,
45,150,0,507.56,0,0,0,0,0,0,16901.7,8.25202,0.999646,0.999725,0,0.54585,0,9,
46,150,0,499.307,0,0,0,0,0,0,16626.9,8.25227,0.999646,0.999715,0,0.545845,0,9,
47,150,0,491.055,0,0,0,0,0,0,16352.1,8.25235,0.999646,0.999705,0,0.54584,0,9,
48,150,0,482.803,0,0,0,0,0,0,16077.3,8.25243,0.999646,0.999695,0,0.545834,0,9,
49,150,0,474.55,0,0,0,0,0,0,15802.5,8.25251,0.999646,0.999685,0,0.545829,0,9,
50,150,0,466.297,0,0,0,0,0,0,15527.7,8.2526,0.999646,0.999675,0,0.545823,0,9,
51,150,0,458.045,0,0,0,0,0,0,15252.9,8.25268,0.999646,0.999665,0,0.545818,0,9,
52,150,0,449.792,0,0,0,0,0,0,14978.1,8.25276,0.999646,0.999655,0,0.545812,0,9,
53,114.019,0,443.669,0,0,0,0,0,0,14774.2,6.12274,0.999646,0.999645,0,0.545807,0,6.84115,
54,150,0,435.416,0,0,0,0,0,0,14499.4,8.25293,0.999646,0.999635,0,0.545802,0,9,
55,37.8666,0,433.489,0,0,0,0,0,0,14435.2,1.92768,0.999646,0.999625,0,0.545796,0,2.272,
56,0,270,438.032,0,0,12.4956,0,78.1464,4.54339,14586.5,0,0.999616,0.999625,0.554787,0,0,18.7497,
57,0,221.881,441.825,0,0,12.4952,0,65.2371,3.79285,14712.8,0,0.999606,0.999625,0.554781,0,0,14.0626,
58,0,109.794,443.77,0,0,12.4951,0,33.4565,1.94515,14777.5,0,0.999596,0.999625,0.554776,0,0,7.33733,
59,0,47.5051,444.628,0,0,12.4949,0,14.7583,0.858042,14806.1,0,0.999585,0.999625,0.55477,0,0,3.6,
60,0,237.553,448.668,0,0,12.4948,0,69.4872,4.03995,14940.6,0,0.999575,0.999625,0.554764,0,0,16.0632,
61,0,293.755,453.572,0,0,12.4947,0,84.3493,4.90403,15104,0,0.999565,0.999625,0.554759,0,0,18.7497,
62,0,299.376,458.561,0,0,12.4946,0,85.8016,4.98846,15270.1,0,0.999555,0.999625,0.554753,0,0,18.7497,
63,150,0,450.307,0,0,0,0,0,0,14995.2,8.25309,0.999555,0.999595,0,0.545779,0,9,
64,150,0,442.054,0,0,0,0,0,0,14720.4,8.25335,0.999555,0.999585,0,0.545774,0,9,
65,150,0,433.801,0,0,0,0,0,0,14445.6,8.25343,0.999555,0.999575,0,0.545768,0,9,
66,150,0,425.547,0,0,0,0,0,0,14170.7,8.25351,0.999555,0.999565,0,0.545763,0,9,
67,150,0,417.294,0,0,0,0,0,0,13895.9,8.25359,0.999555,0.999555,0,0.545758,0,9,
68,150,0,409.04,0,0,0,0,0,0,13621,8.25367,0.999555,0.999545,0,0.545752,0,9,
69,39.3882,0,407.032,0,0,0,0,0,0,13554.2,2.00751,0.999555,0.999535,0,0.545747,0,2.36329,
70,0,115.189,409.07,0,0,12.4944,0,35.0394,2.03717,13622,0,0.999524,0.999535,0.554736,0,0,7.94892,
71,0,60.1953,410.152,0,0,12.4941,0,18.6265,1.08294,13658.1,0,0.999514,0.999535,0.554731,0,0,4.36136,
72,0,269.52,414.688,0,0,12.4939,0,78.0096,4.53544,13809.1,0,0.999504,0.999535,0.554725,0,0,18.2756,
73,0,296.952,419.64,0,0,12.4938,0,85.1705,4.95177,13974,0,0.999494,0.999535,0.55472,0,0,18.7496,
74,0,299.695,424.633,0,0,12.4937,0,85.8779,4.9929,14140.3,0,0.999484,0.999535,0.554714,0,0,18.7496,
75,0,299.97,429.63,0,0,12.4936,0,85.9478,4.99697,14306.7,0,0.999474,0.999535,0.554708,0,0,18.7496,
76,0,292.27,434.511,0,0,12.4934,0,83.9558,4.88115,14469.2,0,0.999464,0.999535,0.554703,0,0,18.2858,
77,0,299.227,439.496,0,0,12.4933,0,85.7546,4.98573,14635.2,0,0.999454,0.999535,0.554697,0,0,18.7496,
78,0,47.5068,440.354,0,0,12.4932,0,14.7568,0.857952,14663.8,0,0.999444,0.999535,0.554692,0,0,3.6,
79,104.681,0,434.768,0,0,0,0,0,0,14477.8,5.58612,0.999444,0.999504,0,0.54573,0,6.28087,
80,39.0119,0,432.78,0,0,0,0,0,0,14411.6,1.98788,0.999444,0.999494,0,0.545724,0,2.34071,
81,0,270,437.323,0,0,12.4931,0,78.1306,4.54248,14562.9,0,0.999414,0.999494,0.554675,0,0,18.7496,
82,0,297,442.275,0,0,12.4927,0,85.1752,4.95205,14727.8,0,0.999404,0.999494,0.554669,0,0,18.7496,
83,0,299.7,447.267,0,0,12.4926,0,85.8714,4.99252,14894,0,0.999394,0.999494,0.554664,0,0,18.7496,
84,0,299.97,452.264,0,0,12.4924,0,85.9402,4.99652,15060.4,0,0.999384,0.999494,0.554658,0,0,18.7495,
85,0,179.55,455.375,0,0,12.4923,0,53.5045,3.11073,15164,0,0.999374,0.999494,0.554653,0,0,11.5225,
86,0,52.9947,456.33,0,0,12.4922,0,16.4323,0.955369,15195.8,0,0.999364,0.999494,0.554647,0,0,3.92921,
87,0,204.237,459.84,0,0,12.492,0,60.3785,3.51038,15312.7,0,0.999353,0.999494,0.554641,0,0,13.7077,
88,0,290.424,464.693,0,0,12.4919,0,83.4666,4.85271,15474.3,0,0.999344,0.999494,0.554636,0,0,18.7495,
89,0,299.042,469.676,0,0,12.4918,0,85.6966,4.98236,15640.2,0,0.999334,0.999494,0.55463,0,0,18.7495,
90,0,299.904,474.671,0,0,12.4917,0,85.918,4.99523,15806.5,0,0.999324,0.999494,0.554625,0,0,18.7495,
91,0,299.99,479.667,0,0,12.4916,0,85.9394,4.99648,15972.9,0,0.999314,0.999494,0.554619,0,0,18.7495,
92,86.5905,0,475.104,0,0,0,0,0,0,15821,4.56346,0.999314,0.999463,0,0.545707,0,5.19543,
93,150,0,466.849,0,0,0,0,0,0,15546.1,8.25443,0.999314,0.999453,0,0.545702,0,9,
94,150,0,458.595,0,0,0,0,0,0,15271.2,8.25451,0.999314,0.999443,0,0.545697,0,9,
95,150,0,450.34,0,0,0,0,0,0,14996.3,8.2546,0.999314,0.999433,0,0.545691,0,9,
96,150,0,442.086,0,0,0,0,0,0,14721.4,8.25468,0.999314,0.999423,0,0.545686,0,9,
97,150,0,433.831,0,0,0,0,0,0,14446.6,8.25476,0.999314,0.999413,0,0.54568,0,9,
98,150,0,425.576,0,0,0,0,0,0,14171.7,8.25484,0.999314,0.999403,0,0.545675,0,9,
99,150,0,417.321,0,0,0,0,0,0,13896.8,8.25492,0.999314,0.999393,0,0.545669,0,9,
100,150,0,409.066,0,0,0,0,0,0,13621.9,8.25501,0.999314,0.999383,0,0.545664,0,9,
101,150,0,400.811,0,0,0,0,0,0,13347,8.25509,0.999314,0.999373,0,0.545658,0,9,
102,79.8721,0,396.621,0,0,0,0,0,0,13207.5,4.19021,0.999314,0.999363,0,0.545653,0,4.79232,
103,0,0,396.621,0,0,0,0,0,0,13207.5,0,0.999314,0.999363,0,0,0,0,
104,39.9942,0,394.581,0,0,0,0,0,0,13139.5,2.03966,0.999314,0.999332,0,0.545636,0,2.39965,
105,0,238.279,398.631,0,0,12.4914,0,69.6641,4.05024,13274.4,0,0.999283,0.999332,0.554602,0,0,16.4084,
106,0,293.828,403.535,0,0,12.491,0,84.3435,4.90369,13437.7,0,0.999273,0.999332,0.554597,0,0,18.7495,
107,0,299.383,408.522,0,0,12.4909,0,85.7784,4.98711,13603.8,0,0.999263,0.999332,0.554591,0,0,18.7495,
108,0,299.938,413.517,0,0,12.4908,0,85.9207,4.99539,13770.1,0,0.999253,0.999332,0.554586,0,0,18.7494,
109,0,299.994,418.514,0,0,12.4907,0,85.9342,4.99618,13936.5,0,0.999243,0.999332,0.55458,0,0,18.7494,
110,0,299.999,423.51,0,0,12.4905,0,85.9348,4.99621,14102.9,0,0.999233,0.999332,0.554575,0,0,18.7494,
111,0,300,428.506,0,0,12.4904,0,85.9341,4.99617,14269.3,0,0.999223,0.999332,0.554569,0,0,18.7494,
112,0,300,433.502,0,0,12.4903,0,85.9332,4.99612,14435.6,0,0.999213,0.999332,0.554564,0,0,18.7494,
113,37.5104,0,431.593,0,0,0,0,0,0,14372,1.90963,0.999213,0.999301,0,0.545619,0,2.25062,
114,41.3764,0,429.48,0,0,0,0,0,0,14301.7,2.11238,0.999213,0.999291,0,0.545614,0,2.48259,
115,0,107.442,431.384,0,0,12.4902,0,32.7511,1.90413,14365.1,0,0.999182,0.999291,0.554547,0,0,7.44497,
116,0,47.5102,432.242,0,0,12.4898,0,14.7538,0.857779,14393.7,0,0.999172,0.999291,0.554541,0,0,3.6,
117,0,47.5103,433.1,0,0,12.4897,0,14.7537,0.857773,14422.2,0,0.999162,0.999291,0.554535,0,0,3.6,
118,127.621,0,426.18,0,0,0,0,0,0,14191.8,6.91934,0.999162,0.999261,0,0.545597,0,7.65726,
119,135.104,0,418.818,0,0,0,0,0,0,13946.6,7.36239,0.999162,0.999251,0,0.545592,0,8.10626,
120,150,0,410.562,0,0,0,0,0,0,13671.7,8.25618,0.999162,0.999241,0,0.545586,0,9,
121,37.8648,0,408.634,0,0,0,0,0,0,13607.5,1.92834,0.999162,0.999231,0,0.545581,0,2.27189,
122,80.6961,0,404.397,0,0,0,0,0,0,13466.4,4.23648,0.999162,0.99922,0,0.545575,0,4.84177,
123,150,0,396.141,0,0,0,0,0,0,13191.5,8.25643,0.999162,0.999211,0,0.54557,0,9,
124,150,0,387.884,0,0,0,0,0,0,12916.5,8.25651,0.999162,0.999201,0,0.545564,0,9,
125,150,0,379.628,0,0,0,0,0,0,12641.6,8.2566,0.999162,0.999191,0,0.545559,0,9,
126,150,0,371.371,0,0,0,0,0,0,12366.7,8.25668,0.999162,0.999181,0,0.545554,0,9,
127,150,0,363.114,0,0,0,0,0,0,12091.7,8.25676,0.999162,0.999171,0,0.545548,0,9,
128,150,0,354.857,0,0,0,0,0,0,11816.7,8.25684,0.999162,0.999161,0,0.545543,0,9,
129,150,0,346.6,0,0,0,0,0,0,11541.8,8.25692,0.999162,0.999151,0,0.545537,0,9,
130,150,0,338.343,0,0,0,0,0,0,11266.8,8.25701,0.999162,0.999141,0,0.545532,0,9,
131,150,0,330.086,0,0,0,0,0,0,10991.9,8.25709,0.999162,0.999131,0,0.545526,0,9,
132,150,0,321.829,0,0,0,0,0,0,10716.9,8.25717,0.999162,0.999121,0,0.545521,0,9,
133,0,0,321.829,0,0,0,0,0,0,10716.9,0,0.999162,0.999121,0,0,0,0,
134,121.271,0,315.281,0,0,0,0,0,0,10498.9,6.54791,0.999162,0.99909,0,0.545504,0,7.27626,
135,93.9681,0,310.301,0,0,0,0,0,0,10333,4.97971,0.999162,0.99908,0,0.545499,0,5.63809,
136,0,0,310.301,0,0,0,0,0,0,10333,0,0.999162,0.99908,0,0,0,0,
137,0,270,314.843,0,0,12.4895,0,78.1086,4.54119,10484.3,0,0.999131,0.99908,0.554518,0,0,18.7494,
138,0,47.5108,315.7,0,0,12.4892,0,14.7532,0.857747,10512.8,0,0.999121,0.99908,0.554513,0,0,3.6,
139,85.357,0,311.204,0,0,0,0,0,0,10363.1,4.49645,0.999121,0.999049,0,0.545482,0,5.12142,
140,150,0,302.946,0,0,0,0,0,0,10088.1,8.25784,0.999121,0.999039,0,0.545477,0,9,
141,150,0,294.688,0,0,0,0,0,0,9813.12,8.25793,0.999121,0.999029,0,0.545471,0,9,
142,150,0,286.43,0,0,0,0,0,0,9538.13,8.25801,0.999121,0.999019,0,0.545466,0,9,
143,150,0,278.172,0,0,0,0,0,0,9263.13,8.25809,0.999121,0.999009,0,0.54546,0,9,
144,150,0,269.914,0,0,0,0,0,0,8988.13,8.25817,0.999121,0.998999,0,0.545455,0,9,
145,0,0,269.914,0,0,0,0,0,0,8988.13,0,0.999121,0.998999,0,0,0,0,
146,0,0,269.914,0,0,0,0,0,0,8988.13,0,0.999121,0.998999,0,0,0,0,
147,0,270,274.455,0,0,12.489,0,78.1054,4.54101,9139.35,0,0.999091,0.998999,0.554496,0,0,18.7493,
148,0,297,279.405,0,0,12.4886,0,85.1477,4.95045,9304.2,0,0.999081,0.998999,0.55449,0,0,18.7493,
149,0,299.7,284.396,0,0,12.4885,0,85.8437,4.99091,9470.4,0,0.999071,0.998999,0.554485,0,0,18.7493,
150,0,299.97,289.391,0,0,12.4884,0,85.9124,4.99491,9636.73,0,0.999061,0.998999,0.554479,0,0,18.7493,
151,0,299.997,294.386,0,0,12.4883,0,85.9185,4.99526,9803.07,0,0.999051,0.998999,0.554474,0,0,18.7493,
152,0,300,299.382,0,0,12.4881,0,85.9184,4.99525,9969.41,0,0.999041,0.998999,0.554468,0,0,18.7493,
153,0,150.222,302.008,0,0,12.488,0,45.1703,2.62618,10056.9,0,0.999031,0.998999,0.554463,0,0,9.76261,
154,0,285.022,306.777,0,0,12.4879,0,82.0348,4.76946,10215.7,0,0.999021,0.998999,0.554457,0,0,18.7493,
155,0,298.502,311.75,0,0,12.4878,0,85.5296,4.97265,10381.3,0,0.999011,0.998999,0.554451,0,0,18.7493,
156,0,299.85,316.743,0,0,12.4876,0,85.8764,4.99281,10547.5,0,0.999001,0.998999,0.554446,0,0,18.7493,
157,0,299.985,321.738,0,0,12.4875,0,85.9103,4.99478,10713.9,0,0.998991,0.998999,0.55444,0,0,18.7493,
158,0,299.999,326.733,0,0,12.4874,0,85.9129,4.99494,10880.2,0,0.998981,0.998999,0.554435,0,0,18.7492,
159,0,300,331.727,0,0,12.4873,0,85.9124,4.99491,11046.5,0,0.998971,0.998999,0.554429,0,0,18.7492,
160,0,0,331.727,0,0,0,0,0,0,11046.5,0,0.998971,0.998999,0,0,0,0,
161,39.4645,0,329.715,0,0,0,0,0,0,10979.5,2.01261,0.998971,0.998969,0,0.545438,0,2.36787,
162,0,270,334.255,0,0,12.4871,0,78.0936,4.54033,11130.7,0,0.99894,0.998969,0.554412,0,0,18.7492,
163,0,47.5132,335.113,0,0,12.4868,0,14.7512,0.857625,11159.3,0,0.99893,0.998969,0.554407,0,0,3.6,
164,0,47.5134,335.97,0,0,12.4866,0,14.751,0.857619,11187.8,0,0.99892,0.998969,0.554401,0,0,3.6,
165,0,40.1122,336.696,0,0,12.4865,0,12.4815,0.725667,11212,0,0.99891,0.998969,0.554396,0,0,3.15592,
166,150,0,328.438,0,0,0,0,0,0,10937,8.25851,0.99891,0.998938,0,0.545421,0,9,
167,118.817,0,322.032,0,0,0,0,0,0,10723.7,6.40587,0.99891,0.998928,0,0.545416,0,7.12901,
168,137.19,0,314.543,0,0,0,0,0,0,10474.3,7.48904,0.99891,0.998918,0,0.54541,0,8.23141,
169,150,0,306.284,0,0,0,0,0,0,10199.2,8.25893,0.99891,0.998908,0,0.545405,0,9,
170,150,0,298.025,0,0,0,0,0,0,9924.22,8.25901,0.99891,0.998898,0,0.5454,0,9,
171,150,0,289.766,0,0,0,0,0,0,9649.2,8.25909,0.99891,0.998888,0,0.545394,0,9,
172,150,0,281.506,0,0,0,0,0,0,9374.16,8.25917,0.99891,0.998878,0,0.545389,0,9,
173,150,0,273.247,0,0,0,0,0,0,9099.13,8.25926,0.99891,0.998868,0,0.545383,0,9,
174,101.445,0,267.842,0,0,0,0,0,0,8919.15,5.40499,0.99891,0.998858,0,0.545378,0,6.08672,
175,0,0,267.842,0,0,0,0,0,0,8919.15,0,0.99891,0.998858,0,0,0,0,
176,0,0,267.842,0,0,0,0,0,0,8919.15,0,0.99891,0.998858,0,0,0,0,
177,150,0,259.583,0,0,0,0,0,0,8644.11,8.25942,0.99891,0.998827,0,0.545361,0,9,
178,150,0,251.323,0,0,0,0,0,0,8369.06,8.25967,0.99891,0.998817,0,0.545356,0,9,
179,39.7572,0,249.295,0,0,0,0,0,0,8301.52,2.02833,0.99891,0.998807,0,0.54535,0,2.38543,
180,0,270,253.835,0,0,12.4864,0,78.0889,4.54005,8452.7,0,0.998879,0.998807,0.554379,0,0,18.7492,
181,0,270.474,258.382,0,0,12.486,0,78.2112,4.54716,8604.12,0,0.998869,0.998807,0.554373,0,0,16.9804,
182,0,297.047,263.332,0,0,12.4859,0,85.1411,4.95006,8768.96,0,0.998859,0.998807,0.554368,0,0,18.7492,
183,0,299.705,268.322,0,0,12.4858,0,85.8259,4.98988,8935.12,0,0.998849,0.998807,0.554362,0,0,18.7491,
184,0,299.97,273.316,0,0,12.4856,0,85.8935,4.99381,9101.41,0,0.998839,0.998807,0.554357,0,0,18.7491,
185,0,299.997,278.31,0,0,12.4855,0,85.8995,4.99416,9267.72,0,0.998829,0.998807,0.554351,0,0,18.7491,
186,0,300,283.304,0,0,12.4854,0,85.8994,4.99415,9434.02,0,0.998819,0.998807,0.554345,0,0,18.7491,
187,0,168.847,286.238,0,0,12.4853,0,50.4594,2.93369,9531.72,0,0.998809,0.998807,0.55434,0,0,10.88,
188,0,286.885,291.034,0,0,12.4851,0,82.5016,4.7966,9691.44,0,0.998799,0.998807,0.554334,0,0,18.7491,
189,0,298.688,296.009,0,0,12.485,0,85.5587,4.97434,9857.09,0,0.998789,0.998807,0.554329,0,0,18.7491,
190,0,299.869,301.001,0,0,12.4849,0,85.8622,4.99199,10023.3,0,0.998779,0.998807,0.554323,0,0,18.7491,
191,0,299.987,305.994,0,0,12.4848,0,85.8918,4.99371,10189.6,0,0.998769,0.998807,0.554318,0,0,18.7491,
192,0,299.999,310.988,0,0,12.4846,0,85.894,4.99383,10355.9,0,0.998759,0.998807,0.554312,0,0,18.7491,
193,0,300,315.982,0,0,12.4845,0,85.8934,4.9938,10522.2,0,0.998749,0.998807,0.554307,0,0,18.7491,
194,0,300,320.976,0,0,12.4844,0,85.8926,4.99375,10688.5,0,0.998739,0.998807,0.554301,0,0,18.7491,
195,0,300,325.969,0,0,12.4843,0,85.8917,4.9937,10854.8,0,0.998729,0.998807,0.554296,0,0,18.7491,
196,0,250.447,330.207,0,0,12.4841,0,72.888,4.23768,10995.9,0,0.998719,0.998807,0.55429,0,0,15.7759,
197,0,47.516,331.065,0,0,12.484,0,14.7487,0.857485,11024.5,0,0.998709,0.998807,0.554285,0,0,3.6,
198,82.7906,0,326.71,0,0,0,0,0,0,10879.4,4.35465,0.998709,0.998777,0,0.545333,0,4.96744,
199,54.7967,0,323.884,0,0,0,0,0,0,10785.3,2.82599,0.998709,0.998766,0,0.545328,0,3.2878,
200,150,0,315.624,0,0,0,0,0,0,10510.3,8.26018,0.998709,0.998757,0,0.545322,0,9,
201,150,0,307.364,0,0,0,0,0,0,10235.2,8.26026,0.998709,0.998747,0,0.545317,0,9,
202,39.1057,0,305.369,0,0,0,0,0,0,10168.8,1.9943,0.998709,0.998736,0,0.545312,0,2.34634,
203,40.0823,0,303.324,0,0,0,0,0,0,10100.7,2.04556,0.998709,0.998726,0,0.545306,0,2.40494,
204,0,270,307.863,0,0,12.4839,0,78.0732,4.53914,10251.8,0,0.998679,0.998726,0.554268,0,0,18.749,
205,0,297,312.811,0,0,12.4835,0,85.1127,4.94841,10416.6,0,0.998669,0.998726,0.554262,0,0,18.749,
206,0,299.7,317.8,0,0,12.4834,0,85.8083,4.98886,10582.7,0,0.998659,0.998726,0.554257,0,0,18.749,
207,0,299.97,322.793,0,0,12.4833,0,85.8771,4.99285,10749,0,0.998649,0.998726,0.554251,0,0,18.749,
208,0,299.997,327.786,0,0,12.4831,0,85.8832,4.99321,10915.3,0,0.998639,0.998726,0.554245,0,0,18.749,
209,0,300,332.779,0,0,12.483,0,85.883,4.9932,11081.6,0,0.998629,0.998726,0.55424,0,0,18.749,
210,0,300,337.773,0,0,12.4829,0,85.8822,4.99315,11247.8,0,0.998619,0.998726,0.554234,0,0,18.749,
211,0,300,342.766,0,0,12.4828,0,85.8814,4.9931,11414.1,0,0.998609,0.998726,0.554229,0,0,18.749,
212,0,300,347.759,0,0,12.4826,0,85.8805,4.99305,11580.4,0,0.998599,0.998726,0.554223,0,0,18.749,
213,0,300,352.752,0,0,12.4825,0,85.8797,4.993,11746.6,0,0.998589,0.998726,0.554218,0,0,18.749,
214,0,300,357.745,0,0,12.4824,0,85.8788,4.99295,11912.9,0,0.998579,0.998726,0.554212,0,0,18.7489,
215,0,300,362.738,0,0,12.4823,0,85.8779,4.9929,12079.2,0,0.998569,0.998726,0.554207,0,0,18.7489,
216,0,235.881,366.747,0,0,12.4821,0,68.9656,4.00963,12212.7,0,0.998559,0.998726,0.554201,0,0,14.9018,
217,0,293.588,371.644,0,0,12.482,0,84.2204,4.89654,12375.7,0,0.998549,0.998726,0.554196,0,0,18.7489,
218,0,114.08,373.66,0,0,12.4819,0,34.6792,2.01623,12442.9,0,0.998539,0.998726,0.55419,0,0,7.59368,
219,0,0,373.66,0,0,0,0,0,0,12442.9,0,0.998539,0.998726,0,0,0,0,
220,0,137.048,376.065,0,0,12.4818,0,41.3606,2.40469,12523,0,0.998508,0.998726,0.554173,0,0,9.38625,
221,0,283.705,380.812,0,0,12.4814,0,81.6486,4.74701,12681,0,0.998498,0.998726,0.554168,0,0,18.7489,
222,0,47.5187,381.669,0,0,12.4813,0,14.7463,0.857345,12709.6,0,0.998488,0.998726,0.554162,0,0,3.6,
223,0,47.5189,382.526,0,0,12.4811,0,14.7462,0.857338,12738.1,0,0.998478,0.998726,0.554156,0,0,3.6,
224,150,0,374.266,0,0,0,0,0,0,12463.1,8.26051,0.998478,0.998696,0,0.545289,0,9,
225,150,0,366.005,0,0,0,0,0,0,12188,8.26076,0.998478,0.998686,0,0.545284,0,9,
226,150,0,357.744,0,0,0,0,0,0,11912.9,8.26084,0.998478,0.998676,0,0.545278,0,9,
227,42.8757,0,355.552,0,0,0,0,0,0,11839.9,2.19265,0.998478,0.998666,0,0.545273,0,2.57254,
228,43.0194,0,353.351,0,0,0,0,0,0,11766.6,2.20025,0.998478,0.998656,0,0.545268,0,2.58116,
229,0,270,357.889,0,0,12.481,0,78.0552,4.53809,11917.7,0,0.998447,0.998656,0.55414,0,0,18.7489,
