Time (since start of data) [hrs],Production [kW],Dispatch [kW],Storage [kW],Curtailment [kW],Is Running (N = 0 / Y = 1),Fuel Consumption [L],Fuel Cost (actual),Carbon Dioxide (CO2) Emissions [kg],Carbon Monoxide (CO) Emissions [kg],Nitrogen Oxides (NOx) Emissions [kg],Sulfur Oxides (SOx) Emissions [kg],Methane (CH4) Emissions [kg],Particulate Matter (PM) Emissions [kg],Capital Cost (actual),Operation and Maintenance Cost (actual),
0,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
1,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
2,0,0,0,0,1,3.58144,6.08845,9.6699,0.0637497,0.00501402,0.0150421,0.00250701,0.000358144,0,0.102532,
3,70.7746,70.7746,0,0,1,21.6286,36.7685,58.3971,0.384988,0.03028,0.0908399,0.01514,0.00216286,0,4.83779,
4,110.49,110.49,0,0,1,31.7558,53.9849,85.7407,0.565254,0.0444582,0.133374,0.0222291,0.00317558,0,7.55255,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
7,0,0,0,0,1,3.58144,6.08845,9.6699,0.0637497,0.00501402,0.0150421,0.00250701,0.000358144,0,0.102532,
8,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
9,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
10,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
11,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
16,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
17,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
18,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
19,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
20,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
21,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,75.815,75.815,0,0,1,22.9138,38.9535,61.8674,0.407866,0.0320794,0.0962381,0.0160397,0.00229138,0,5.18233,
24,81.8064,81.8064,0,0,1,24.4416,41.5507,65.9923,0.435061,0.0342182,0.102655,0.0171091,0.00244416,0,5.59187,
25,80.4862,80.4862,0,0,1,24.105,40.9784,65.0834,0.429068,0.0337469,0.101241,0.0168735,0.0024105,0,5.50162,
26,92.019,92.019,0,0,1,27.0458,45.9778,73.0235,0.481414,0.0378641,0.113592,0.018932,0.00270458,0,6.28995,
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
30,0,0,0,0,1,3.58144,6.08845,9.6699,0.0637497,0.00501402,0.0150421,0.00250701,0.000358144,0,0.102532,
31,0,0,0,0,1,3.58144,6.08845,9.6699,0.0637497,0.00501402,0.0150421,0.00250701,0.000358144,0,0.102532,
32,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
33,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
34,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
35,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
36,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
37,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
42,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
43,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
44,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
45,86.9399,86.9399,0,0,1,25.7506,43.7761,69.5267,0.458361,0.0360509,0.108153,0.0180254,0.00257506,0,5.94277,
46,96.1464,96.1464,0,0,1,28.0982,47.767,75.8652,0.500148,0.0393375,0.118013,0.0196688,0.00280982,0,6.57208,
47,93.3866,93.3866,0,0,1,27.3945,46.5706,73.9651,0.487622,0.0383523,0.115057,0.0191761,0.00273945,0,6.38343,
48,101.734,101.734,0,0,1,29.523,50.1892,79.7122,0.52551,0.0413323,0.123997,0.0206661,0.0029523,0,6.95402,
49,97.5181,97.5181,0,0,1,28.448,48.3616,76.8096,0.506374,0.0398272,0.119482,0.0199136,0.0028448,0,6.66584,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
54,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
55,0,0,0,0,1,3.58144,6.08845,9.6699,0.0637497,0.00501402,0.0150421,0.00250701,0.000358144,0,0.102532,
56,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
57,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
58,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
59,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
60,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
61,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
62,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
63,67.4241,67.4241,0,0,1,20.7742,35.3161,56.0904,0.369781,0.0290839,0.0872517,0.0145419,0.00207742,0,4.60877,
64,89.1342,89.1342,0,0,1,26.3102,44.7273,71.0374,0.468321,0.0368342,0.110503,0.0184171,0.00263102,0,6.09276,
65,88.3163,88.3163,0,0,1,26.1016,44.3727,70.4743,0.464608,0.0365422,0.109627,0.0182711,0.00261016,0,6.03685,
66,89.0475,89.0475,0,0,1,26.288,44.6897,70.9777,0.467927,0.0368033,0.11041,0.0184016,0.0026288,0,6.08683,
67,74.2599,74.2599,0,0,1,22.5173,38.2794,60.7967,0.400808,0.0315242,0.0945726,0.0157621,0.00225173,0,5.07602,
68,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
69,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
70,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
71,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
72,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
73,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
79,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
80,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
81,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
82,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
83,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
86,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
87,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
88,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
89,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
90,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
91,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
92,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,100.608,100.608,0,0,1,29.2359,49.701,78.9368,0.520398,0.0409302,0.122791,0.0204651,0.00292359,0,6.87703,
95,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
96,0,0,0,0,1,3.58144,6.08845,9.6699,0.0637497,0.00501402,0.0150421,0.00250701,0.000358144,0,0.102532,
97,0,0,0,0,1,3.58144,6.08845,9.6699,0.0637497,0.00501402,0.0150421,0.00250701,0.000358144,0,0.102532,
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,73.0946,73.0946,0,0,1,22.2202,37.7743,59.9944,0.395519,0.0311082,0.0933246,0.0155541,0.00222202,0,4.99637,
101,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
102,60,60,0,0,1,18.8811,32.0979,50.979,0.336084,0.0264335,0.0793006,0.0132168,0.00188811,0,4.10129,
